instance_id,cls_id,in_frame,total_proj,ratio
1_629_1_630_1,1,356,356,1.000000
1_630_1_631_1,1,356,356,1.000000
1_631_1_632_1,1,375,375,1.000000
1_632_1_633_1,1,357,357,1.000000
1_633_1_634_1,1,389,391,0.994885
1_634_1_635_1,1,429,429,1.000000
1_635_1_636_1,1,405,405,1.000000
1_636_1_637_1,1,419,419,1.000000
1_637_1_638_1,1,349,349,1.000000
1_638_1_639_1,1,297,300,0.990000
1_639_1_640_1,1,313,313,1.000000
1_640_1_641_1,1,0,145,0.000000
1_641_1_642_1,1,241,245,0.983673
1_644_1_645_26,26,376,394,0.954315
1_645_1_646_26,26,289,289,1.000000
1_646_1_647_26,26,329,376,0.875000
1_647_1_648_26,26,0,92,0.000000
1_648_1_649_26,26,340,340,1.000000
1_649_1_650_26,26,373,373,1.000000
1_650_1_651_26,26,328,328,1.000000
1_651_1_652_26,26,365,365,1.000000
1_652_1_653_26,26,336,336,1.000000
1_653_1_654_26,26,366,366,1.000000
1_654_1_655_26,26,348,348,1.000000
1_655_1_656_26,26,383,383,1.000000
1_656_1_657_26,26,399,399,1.000000
1_657_1_659_26,26,364,364,1.000000
1_659_1_660_26,26,387,387,1.000000
1_660_1_661_26,26,409,409,1.000000
1_661_1_662_26,26,364,377,0.965517
1_662_1_663_26,26,365,365,1.000000
1_663_1_664_26,26,377,377,1.000000
1_664_1_665_26,26,319,319,1.000000
1_665_1_666_26,26,293,293,1.000000
1_666_1_667_26,26,315,315,1.000000
1_667_1_668_26,26,359,359,1.000000
1_668_1_669_26,26,334,334,1.000000
1_669_1_670_26,26,341,341,1.000000
1_670_1_671_26,26,345,345,1.000000
1_671_1_672_26,26,333,333,1.000000
1_672_1_673_26,26,331,331,1.000000
1_673_1_735_26,26,1,198,0.005051
1_735_1_736_26,26,197,226,0.871681
1_736_1_743_26,26,171,318,0.537736
1_743_1_744_26,26,346,346,1.000000
1_744_1_745_26,26,346,346,1.000000
1_675_1_676_3,3,482,482,1.000000
1_676_1_678_3,3,500,500,1.000000
1_678_1_679_3,3,0,73,0.000000
1_679_1_680_3,3,0,42,0.000000
1_680_1_681_3,3,0,296,0.000000
1_681_1_682_3,3,220,220,1.000000
1_682_1_683_3,3,112,112,1.000000
1_683_1_684_3,3,61,61,1.000000
1_684_1_685_3,3,32,247,0.129555
1_685_1_686_3,3,169,169,1.000000
1_686_1_687_3,3,257,257,1.000000
1_687_1_688_3,3,459,459,1.000000
1_688_1_689_3,3,481,481,1.000000
1_689_1_690_3,3,0,500,0.000000
1_690_1_691_3,3,238,282,0.843972
1_691_1_692_3,3,11,158,0.069620
1_692_1_693_3,3,283,283,1.000000
1_693_1_694_3,3,479,479,1.000000
1_694_1_695_3,3,473,473,1.000000
1_695_1_696_3,3,0,0,0.000000
1_696_1_697_3,3,455,455,1.000000
1_697_1_698_3,3,454,454,1.000000
1_700_1_701_20,20,344,344,1.000000
1_701_1_703_20,20,361,361,1.000000
1_703_1_704_20,20,312,312,1.000000
1_704_1_705_20,20,388,388,1.000000
1_705_1_706_20,20,330,330,1.000000
